,LESS THAN 8FT.,,,8-16 FT.,,,16-24 FT.,,,24+ FT.,,
TEAM,FGM-C,FGA-C,FG%-C,FGM-M,FGA-M,FG%-M,FGM-L,FGA-L,FG%-L,FGM-T,FGA-T,FG%-T
Atlanta Hawks,1648,2902,56.8,309,741,41.7,394,951,41.4,813,2312,35.2
Boston Celtics,1735,3144,55.2,342,902,37.9,422,1130,37.3,716,2126,33.7
Brooklyn Nets,1655,3034,54.5,459,1126,40.8,491,1252,39.2,530,1492,35.5
Charlotte Hornets,1379,2522,54.7,356,910,39.1,428,1080,39.6,872,2400,36.3
Chicago Bulls,1552,2993,51.9,433,1094,39.6,529,1329,39.8,650,1732,37.5
Cleveland Cavaliers,1586,2723,58.2,329,880,37.4,376,857,43.9,877,2417,36.3
Dallas Mavericks,1393,2476,56.3,414,990,41.8,451,1093,41.3,804,2320,34.7
Denver Nuggets,1759,3332,52.8,283,731,38.7,395,996,39.7,653,1925,33.9
Detroit Pistons,1638,3132,52.3,413,983,42,320,824,38.8,739,2112,35
Golden State Warriors,1652,2831,58.4,373,880,42.4,387,856,45.2,1071,2565,41.8
Houston Rockets,1752,3136,55.9,252,619,40.7,212,558,38,877,2501,35.1
Indiana Pacers,1515,2609,58.1,381,958,39.8,583,1529,38.1,656,1860,35.3
LA Clippers,1407,2341,60.1,330,774,42.6,607,1454,41.7,783,2139,36.6
Los Angeles Lakers,1380,2640,52.3,443,1136,39,418,1165,35.9,635,1983,32
Memphis Grizzlies,1652,3192,51.8,401,966,41.5,462,1180,39.2,500,1496,33.4
Miami Heat,1714,2907,59,449,1090,41.2,489,1220,40.1,495,1457,34
Milwaukee Bucks,1961,3522,55.7,355,934,38,389,1007,38.6,437,1248,35
Minnesota Timberwolves,1674,2852,58.7,328,875,37.5,638,1593,40.1,454,1337,34
New Orleans Pelicans,1561,2894,53.9,376,969,38.8,514,1225,42,700,1935,36.2
New York Knicks,1338,2524,53,504,1214,41.5,570,1386,41.1,609,1744,34.9
Oklahoma City Thunder,1759,3038,57.9,510,1060,48.1,425,1038,40.9,678,1936,35
Orlando Magic,1634,2913,56.1,372,926,40.2,600,1464,41,636,1791,35.5
Philadelphia 76ers,1658,3066,54.1,317,881,36,231,683,33.8,763,2239,34.1
Phoenix Suns,1570,2936,53.5,348,875,39.8,395,1089,36.3,737,2099,35.1
Portland Trail Blazers,1471,2763,53.2,364,834,43.6,468,1107,42.3,864,2320,37.2
Sacramento Kings,1903,3419,55.7,294,730,40.3,426,1095,38.9,660,1821,36.2
San Antonio Spurs,1595,2649,60.2,550,1267,43.4,574,1363,42.1,569,1500,37.9
Toronto Raptors,1562,2850,54.8,390,978,39.9,345,925,37.3,708,1892,37.4
Utah Jazz,1507,2736,55.1,443,1073,41.3,313,828,37.8,694,1933,35.9
Washington Wizards,1585,2719,58.3,415,1010,41.1,529,1322,40,707,1962,36
