,LESS THAN 8FT.,,,8-16 FT.,,,16-24 FT.,,,24+ FT.,,
TEAM,FGM-C,FGA-C,FG%-C,FGM-M,FGA-M,FG%-M,FGM-L,FGA-L,FG%-L,FGM-T,FGA-T,FG%-T
Atlanta Hawks,1530,2803,54.6,533,1424,37.4,490,1114,44,332,998,33.3
Boston Celtics,1582,3066,51.6,397,1142,34.8,618,1476,41.9,415,1237,33.5
Charlotte Hornets,1559,2829,55.1,482,1275,37.8,582,1338,43.5,345,893,38.6
Chicago Bulls,1469,2591,56.7,590,1562,37.8,699,1693,41.3,306,944,32.4
Cleveland Cavaliers,1545,2886,53.5,522,1392,37.5,454,1133,40.1,296,781,37.9
Dallas Mavericks,1199,2304,52,519,1458,35.6,744,1824,40.8,419,1158,36.2
Denver Nuggets,1293,2392,54.1,480,1411,34,616,1714,35.9,287,883,32.5
Detroit Pistons,1504,2631,57.2,618,1640,37.7,448,1169,38.3,292,926,31.5
Golden State Warriors,1406,2818,49.9,575,1640,35.1,674,1728,39,189,681,27.8
Houston Rockets,1531,2699,56.7,478,1238,38.6,379,954,39.7,558,1610,34.7
Indiana Pacers,1412,2472,57.1,518,1309,39.6,590,1412,41.8,399,1015,39.3
Los Angeles Clippers,1614,2984,54.1,407,1141,35.7,389,1109,35.1,520,1447,35.9
Los Angeles Lakers,2115,3609,58.6,349,1001,34.9,188,516,36.4,493,1398,35.3
Miami Heat,1472,2646,55.6,410,1094,37.5,430,1062,40.5,537,1509,35.6
Milwaukee Bucks,1356,2496,54.3,692,1701,40.7,622,1504,41.4,247,676,36.5
Minnesota Timberwolves,1480,2725,54.3,602,1453,41.4,774,1804,42.9,301,849,35.5
New Jersey Nets,1531,2905,52.7,503,1420,35.4,713,1670,42.7,308,919,33.5
New York Knicks,1370,2548,53.8,501,1275,39.3,611,1453,42.1,382,1118,34.2
Orlando Magic,1412,2615,54,391,1157,33.8,682,1789,38.1,286,878,32.6
Philadelphia 76ers,1577,2996,52.6,562,1485,37.8,455,1121,40.6,242,798,30.3
Phoenix Suns,1567,2724,57.5,616,1503,41,530,1290,41.1,425,1183,35.9
Portland Trail Blazers,1699,3075,55.3,440,1203,36.6,457,1163,39.3,289,946,30.5
Sacramento Kings,1604,2941,54.5,482,1357,35.5,587,1581,37.1,284,791,35.9
San Antonio Spurs,1697,3012,56.3,471,1251,37.6,436,1079,40.4,294,839,35
Seattle SuperSonics,1628,2841,57.3,332,916,36.2,480,1152,41.7,611,1547,39.5
Toronto Raptors,1616,3081,52.5,525,1482,35.4,452,1166,38.8,372,1076,34.6
Utah Jazz,1615,2820,57.3,410,1030,39.8,722,1600,45.1,246,655,37.6
Vancouver Grizzlies,1723,3122,55.2,446,1252,35.6,512,1295,39.5,325,885,36.7
Washington Wizards,1543,2814,54.8,658,1746,37.7,559,1309,42.7,320,938,34.1
