,LESS THAN 8FT.,,,8-16 FT.,,,16-24 FT.,,,24+ FT.,,
TEAM,FGM-C,FGA-C,FG%-C,FGM-M,FGA-M,FG%-M,FGM-L,FGA-L,FG%-L,FGM-T,FGA-T,FG%-T
Atlanta Hawks,1372,2583,53.1,399,1044,38.2,646,1582,40.8,395,1084,36.4
Boston Celtics,1732,3956,43.8,483,962,50.2,567,1209,46.9,284,836,34
Charlotte Hornets,1457,3292,44.3,428,898,47.7,835,1568,53.3,268,578,46.4
Chicago Bulls,1342,2483,54,809,1758,46,891,2006,44.4,235,673,34.9
Cleveland Cavaliers,1261,2418,52.2,413,1019,40.5,847,2012,42.1,182,516,35.3
Dallas Mavericks,1465,2757,53.1,507,1327,38.2,638,1743,36.6,201,610,33
Denver Nuggets,1323,2550,51.9,531,1272,41.7,756,1960,38.6,323,895,36.1
Detroit Pistons,1283,2319,55.3,582,1389,41.9,565,1349,41.9,397,1030,38.5
Golden State Warriors,1534,2793,54.9,510,1258,40.5,751,1901,39.5,201,610,33
Houston Rockets,1651,2892,57.1,486,1181,41.2,592,1586,37.3,306,808,37.9
Indiana Pacers,1490,2826,52.7,541,1378,39.3,615,1456,42.2,203,584,34.8
Los Angeles Clippers,1571,2971,52.9,494,1266,39,697,1774,39.3,227,673,33.7
Los Angeles Lakers,1803,3406,52.9,421,1127,37.4,465,1218,38.2,329,883,37.3
Miami Heat,1439,2666,54,412,1114,37,627,1540,40.7,343,901,38.1
Milwaukee Bucks,1550,2864,54.1,702,1700,41.3,493,1109,44.5,221,620,35.6
Minnesota Timberwolves,1430,2680,53.4,549,1318,41.7,769,1893,40.6,189,532,35.5
New Jersey Nets,1479,3023,48.9,554,1520,36.4,690,1759,39.2,271,778,34.8
New York Knicks,1487,2757,53.9,523,1263,41.4,650,1559,41.7,222,636,34.9
Orlando Magic,1523,2885,52.8,394,1042,37.8,661,1813,36.5,261,741,35.2
Philadelphia 76ers,1748,3370,51.9,468,1254,37.3,495,1292,38.3,292,921,31.7
Phoenix Suns,1686,2906,58,522,1363,38.3,745,1889,39.4,189,534,35.4
Portland Trail Blazers,1765,3307,53.4,487,1190,40.9,612,1518,40.3,136,441,30.8
Sacramento Kings,1503,2846,52.8,498,1301,38.3,837,2016,41.5,162,442,36.7
San Antonio Spurs,1611,3156,51,385,992,38.8,657,1681,39.1,174,560,31.1
Seattle SuperSonics,1809,3283,55.1,328,804,40.8,590,1607,36.7,267,707,37.8
Toronto Raptors,1573,3047,51.6,429,1209,35.5,667,1682,39.7,227,678,33.5
Utah Jazz,1730,2929,59.1,489,1173,41.7,770,1696,45.4,142,413,34.4
Vancouver Grizzlies,1499,2802,53.5,499,1335,37.4,592,1617,36.6,229,688,33.3
Washington Bullets,1842,3241,56.8,670,1618,41.4,466,1131,41.2,230,677,34
