,LESS THAN 8FT.,,,8-16 FT.,,,16-24 FT.,,,24+ FT.,,
TEAM,FGM-C,FGA-C,FG%-C,FGM-M,FGA-M,FG%-M,FGM-L,FGA-L,FG%-L,FGM-T,FGA-T,FG%-T
Atlanta Hawks,1565,2933,53.4,336,912,36.8,620,1496,41.4,425,1139,37.3
Boston Celtics,1525,2748,55.5,340,842,40.4,622,1445,43,462,1268,36.4
Charlotte Bobcats,1521,2837,53.6,351,960,36.6,662,1787,37,426,1236,34.5
Chicago Bulls,1306,2498,52.3,393,953,41.2,747,1812,41.2,558,1456,38.3
Cleveland Cavaliers,1595,2814,56.7,310,869,35.7,506,1264,40,497,1447,34.3
Dallas Mavericks,1311,2461,53.3,600,1411,42.5,621,1390,44.7,416,1090,38.2
Denver Nuggets,1667,2884,57.8,311,845,36.8,751,1868,40.2,348,1052,33.1
Detroit Pistons,1216,2122,57.3,562,1354,41.5,648,1629,39.8,557,1447,38.5
Golden State Warriors,1527,2802,54.5,251,717,35,537,1438,37.3,624,1813,34.4
Houston Rockets,1293,2417,53.5,392,1018,38.5,556,1408,39.5,467,1398,33.4
Indiana Pacers,1354,2422,55.9,401,1073,37.4,495,1242,39.9,536,1520,35.3
Los Angeles Clippers,1331,2381,55.9,762,1663,45.8,610,1557,39.2,290,825,35.2
Los Angeles Lakers,1472,2599,56.6,363,915,39.7,604,1509,40,553,1566,35.3
Memphis Grizzlies,1486,2733,54.4,243,727,33.4,428,1090,39.3,589,1564,37.7
Miami Heat,1785,2956,60.4,297,837,35.5,461,1124,41,495,1418,34.9
Milwaukee Bucks,1554,2946,52.7,411,1026,40.1,504,1260,40,507,1330,38.1
Minnesota Timberwolves,1336,2360,56.6,454,1113,40.8,789,1928,40.9,309,917,33.7
New Jersey Nets,1293,2435,53.1,296,817,36.2,713,1624,43.9,474,1421,33.4
New Orleans/Oklahoma City Hornets,1439,2772,51.9,386,1056,36.6,706,1715,41.2,300,874,34.3
New York Knicks,1658,3134,52.9,339,917,37,505,1270,39.8,320,864,37
Orlando Magic,1539,2792,55.1,398,989,40.2,676,1591,42.5,298,782,38.1
Philadelphia 76ers,1567,2839,55.2,482,1237,39,578,1442,40.1,374,1017,36.8
Phoenix Suns,1381,2213,62.4,398,993,40.1,815,1865,43.7,836,2083,40.1
Portland Trail Blazers,1431,2661,53.8,310,789,39.3,687,1775,38.7,361,1021,35.4
Sacramento Kings,1417,2439,58.1,232,609,38.1,810,2040,39.7,495,1398,35.4
San Antonio Spurs,1622,2795,58,367,954,38.5,482,1236,39,522,1346,38.8
Seattle SuperSonics,1502,2756,54.5,457,1089,42,513,1237,41.5,605,1605,37.7
Toronto Raptors,1349,2456,54.9,442,1145,38.6,616,1422,43.3,605,1599,37.8
Utah Jazz,1430,2614,54.7,307,826,37.2,695,1847,37.6,310,907,34.2
Washington Wizards,1535,2797,54.9,310,821,37.8,633,1646,38.5,497,1380,36
