,LESS THAN 8FT.,,,8-16 FT.,,,16-24 FT.,,,24+ FT.,,
TEAM,FGM-C,FGA-C,FG%-C,FGM-M,FGA-M,FG%-M,FGM-L,FGA-L,FG%-L,FGM-T,FGA-T,FG%-T
Atlanta Hawks,1390,2528,55,748,2002,37.4,605,1467,41.2,256,793,32.3
Boston Celtics,1614,3140,51.4,485,1215,39.9,539,1269,42.5,416,1248,33.3
Charlotte Hornets,1449,2608,55.6,616,1601,38.5,533,1330,40.1,337,981,34.4
Chicago Bulls,1313,2606,50.4,424,1191,35.6,489,1351,36.2,339,1022,33.2
Cleveland Cavaliers,1527,2959,51.6,502,1329,37.8,605,1527,39.6,343,909,37.7
Dallas Mavericks,1354,2533,53.5,666,1652,40.3,659,1539,42.8,515,1311,39.3
Denver Nuggets,1600,2873,55.7,506,1340,37.8,482,1302,37,468,1382,33.9
Detroit Pistons,1507,2670,56.4,447,1162,38.5,651,1580,41.2,439,1214,36.2
Golden State Warriors,1607,3179,50.6,426,1300,32.8,621,1596,38.9,341,1054,32.4
Houston Rockets,1724,3062,56.3,281,893,31.5,418,1093,38.2,577,1601,36
Indiana Pacers,1361,2467,55.2,538,1360,39.6,566,1328,42.6,581,1479,39.3
Los Angeles Clippers,1456,2715,53.6,570,1618,35.2,423,1159,36.5,427,1246,34.3
Los Angeles Lakers,1752,3045,57.5,500,1403,35.6,545,1347,40.5,340,1033,32.9
Miami Heat,1394,2376,58.7,559,1407,39.7,576,1480,38.9,445,1185,37.6
Milwaukee Bucks,1217,2211,55,1001,2241,44.7,563,1308,43,393,1046,37.6
Minnesota Timberwolves,1315,2344,56.1,588,1443,40.7,1076,2408,44.7,247,698,35.4
New Jersey Nets,1406,2646,53.1,316,931,33.9,779,1934,40.3,477,1360,35.1
New York Knicks,1299,2539,51.2,745,1760,42.3,502,1146,43.8,349,905,38.6
Orlando Magic,1600,2982,53.7,474,1233,38.4,802,1930,41.6,292,854,34.2
Philadelphia 76ers,1656,3024,54.8,597,1802,33.1,532,1306,40.7,208,636,32.7
Phoenix Suns,1609,2880,55.9,472,1250,37.8,568,1432,39.7,444,1198,37.1
Portland Trail Blazers,1534,2736,56.1,426,1024,41.6,656,1544,42.5,405,1107,36.6
Sacramento Kings,1772,3186,55.6,413,1041,39.7,558,1409,39.6,533,1628,32.7
San Antonio Spurs,1513,2784,54.3,572,1408,40.6,535,1320,40.5,332,871,38.1
Seattle SuperSonics,1645,2885,57,304,901,33.7,615,1556,39.5,544,1597,34.1
Toronto Raptors,1191,2261,52.7,555,1488,37.3,810,1965,41.2,424,1154,36.7
Utah Jazz,1374,2527,54.4,463,1201,38.6,800,1807,44.3,323,833,38.8
Vancouver Grizzlies,1532,2804,54.6,496,1339,37,541,1401,38.6,323,891,36.3
Washington Wizards,1465,2783,52.6,679,1737,39.1,532,1273,41.8,334,883,37.8
