,LESS THAN 8FT.,,,8-16 FT.,,,16-24 FT.,,,24+ FT.,,
TEAM,FGM-C,FGA-C,FG%-C,FGM-M,FGA-M,FG%-M,FGM-L,FGA-L,FG%-L,FGM-T,FGA-T,FG%-T
Atlanta Hawks,1537,2935,52.4,432,1213,35.6,510,1272,40.1,422,1181,35.7
Boston Celtics,1365,2639,51.7,317,922,34.4,473,1226,38.6,694,1921,36.1
Charlotte Hornets,1411,2631,53.6,493,1326,37.2,645,1631,39.5,343,983,34.9
Chicago Bulls,1231,2387,51.6,516,1296,39.8,764,1940,39.4,297,855,34.7
Cleveland Cavaliers,1234,2358,52.3,680,1608,42.3,648,1588,40.8,384,999,38.4
Dallas Mavericks,1414,2505,56.4,525,1295,40.5,642,1490,43.1,619,1626,38.1
Denver Nuggets,1481,2838,52.2,413,1061,38.9,599,1686,35.5,421,1264,33.3
Detroit Pistons,1321,2334,56.6,430,1152,37.3,528,1306,40.4,564,1498,37.7
Golden State Warriors,1782,3480,51.2,369,1015,36.4,527,1499,35.2,319,977,32.7
Houston Rockets,1335,2476,53.9,305,880,34.7,703,1796,39.1,493,1456,33.9
Indiana Pacers,1368,2477,55.2,572,1450,39.4,590,1458,40.5,405,1173,34.5
Los Angeles Clippers,1534,2774,55.3,652,1730,37.7,377,1018,37,407,1136,35.8
Los Angeles Lakers,1595,2709,58.9,512,1284,39.9,533,1407,37.9,509,1423,35.8
Memphis Grizzlies,1508,2807,53.7,409,1119,36.6,600,1518,39.5,334,1077,31
Miami Heat,1216,2148,56.6,474,1274,37.2,798,2060,38.7,312,874,35.7
Milwaukee Bucks,1163,2118,54.9,837,1823,45.9,449,1056,42.5,592,1559,38
Minnesota Timberwolves,1366,2473,55.2,607,1404,43.2,808,1968,41.1,394,1031,38.2
New Jersey Nets,1620,2873,56.4,419,1185,35.4,601,1566,38.4,402,1166,34.5
New York Knicks,1197,2347,51,630,1538,41,516,1291,40,473,1335,35.4
Orlando Magic,1471,2651,55.5,341,918,37.1,657,1669,39.4,617,1644,37.5
Philadelphia 76ers,1412,2616,54,611,1704,35.9,567,1402,40.4,214,709,30.2
Phoenix Suns,1621,2993,54.2,540,1402,38.5,578,1444,40,358,1087,32.9
Portland Trail Blazers,1473,2645,55.7,389,1008,38.6,679,1703,39.9,463,1299,35.6
Sacramento Kings,1689,2993,56.4,357,903,39.5,796,1948,40.9,425,1151,36.9
San Antonio Spurs,1576,2741,57.5,554,1439,38.5,344,976,35.2,437,1197,36.5
Seattle SuperSonics,1586,2870,55.3,414,1079,38.4,642,1441,44.6,489,1283,38.1
Toronto Raptors,1328,2464,53.9,585,1555,37.6,619,1602,38.6,387,1084,35.7
Utah Jazz,1549,2915,53.1,355,952,37.3,688,1671,41.2,277,828,33.5
Washington Wizards,1150,2219,51.8,675,1745,38.7,807,1914,42.2,306,778,39.3
