,LESS THAN 8FT.,,,8-16 FT.,,,16-24 FT.,,,24+ FT.,,
TEAM,FGM-C,FGA-C,FG%-C,FGM-M,FGA-M,FG%-M,FGM-L,FGA-L,FG%-L,FGM-T,FGA-T,FG%-T
Atlanta Hawks,1618,2889,56,327,846,38.7,449,1046,42.9,728,2116,34.4
Boston Celtics,1588,2791,56.9,280,670,41.8,315,775,40.6,983,2714,36.2
Brooklyn Nets,1724,3118,55.3,318,790,40.3,183,487,37.6,875,2567,34.1
Charlotte Hornets,1475,2650,55.7,390,941,41.4,404,1062,38,823,2328,35.4
Chicago Bulls,1637,2927,55.9,427,1105,38.6,482,1278,37.7,623,1817,34.3
Cleveland Cavaliers,1531,2572,59.5,337,814,41.4,340,797,42.7,1065,2762,38.6
Dallas Mavericks,1159,2029,57.1,432,969,44.6,499,1279,39,877,2452,35.8
Denver Nuggets,1915,3315,57.8,283,735,38.5,309,779,39.7,870,2340,37.2
Detroit Pistons,1566,2863,54.7,597,1362,43.8,475,1142,41.6,629,1880,33.5
Golden State Warriors,1717,2708,63.4,401,947,42.3,432,923,46.8,980,2527,38.8
Houston Rockets,1819,3034,60,170,451,37.7,135,361,37.4,1178,3282,35.9
Indiana Pacers,1540,2717,56.7,408,979,41.7,564,1350,41.8,699,1850,37.8
LA Clippers,1524,2554,59.7,289,680,42.5,588,1341,43.8,829,2195,37.8
Los Angeles Lakers,1783,3196,55.8,383,1017,37.7,328,841,39,721,2068,34.9
Memphis Grizzlies,1523,2874,53,318,823,38.6,376,988,38.1,765,2130,35.9
Miami Heat,1643,2914,56.4,393,987,39.8,358,923,38.8,806,2189,36.8
Milwaukee Bucks,1907,3313,57.6,275,732,37.6,280,724,38.7,713,1919,37.2
Minnesota Timberwolves,1758,3017,58.3,358,897,39.9,518,1285,40.3,600,1709,35.1
New Orleans Pelicans,1642,2948,55.7,395,920,42.9,405,1066,38,766,2178,35.2
New York Knicks,1510,2826,53.4,507,1163,43.6,523,1245,42,703,1997,35.2
Oklahoma City Thunder,1885,3322,56.7,365,951,38.4,295,778,37.9,689,2098,32.8
Orlando Magic,1544,2757,56,456,1115,40.9,438,1121,39.1,700,2111,33.2
Philadelphia 76ers,1700,3018,56.3,317,835,38,240,696,34.5,825,2421,34.1
Phoenix Suns,1723,3040,56.7,484,1166,41.5,448,1200,37.3,614,1830,33.6
Portland Trail Blazers,1567,2869,54.6,388,874,44.4,436,1044,41.8,850,2253,37.7
Sacramento Kings,1585,2817,56.3,363,912,39.8,420,1045,40.2,732,1934,37.8
San Antonio Spurs,1465,2540,57.7,440,1093,40.3,564,1304,43.3,753,1912,39.4
Toronto Raptors,1584,2791,56.8,472,1075,43.9,430,1055,40.8,724,1980,36.6
Utah Jazz,1553,2670,58.2,410,947,43.3,279,770,36.2,790,2112,37.4
Washington Wizards,1655,2864,57.8,444,1038,42.8,533,1205,44.2,753,2009,37.5
